features,algorithm,PCA_dim,params,Train_ARI,Train_NMI,Train_Accuracy,Val_Accuracy
sobel,agglomerative,1,"k=3, linkage=complete",0.05132224122151148,0.07513770981495464,0.4509227614490772,0.468
rgb,gmm,10,"k=3, cov=full",0.08503040359680572,0.08825881246132813,0.4637047163362953,0.4673333333333333
rgb,gmm,75,"k=3, cov=diag",0.05157067498184319,0.0760733791090247,0.44982911825017086,0.466
sobel,gmm,10,"k=2, cov=full",0.06334960345806151,0.056054932368780085,0.4470266575529733,0.4653333333333333
sobel,agglomerative,50,"k=2, linkage=ward",0.03906175803201298,0.06710526658252297,0.42795625427204376,0.4646666666666667
sobel,agglomerative,1,"k=5, linkage=complete",0.05961174259472326,0.07847833370489884,0.4691729323308271,0.4646666666666667
sobel,kmeans,1,k=4,0.0636528745547522,0.07815904986033428,0.47218045112781953,0.4646666666666667
sobel,agglomerative,20,"k=2, linkage=ward",0.03967672763087918,0.06434816511346646,0.42829801777170196,0.464
canny,agglomerative,20,"k=2, linkage=ward",0.05543330630126622,0.06372590817099294,0.44169514695830486,0.4633333333333333
sobel,agglomerative,20,"k=3, linkage=complete",0.03713294833229814,0.06448079447273597,0.4267942583732057,0.46266666666666667
canny,agglomerative,75,"k=5, linkage=ward",0.05818832252397188,0.05689000158610657,0.45632262474367735,0.46266666666666667
sobel,gmm,50,"k=3, cov=full",0.05168740389113766,0.04694730928510785,0.46438824333561174,0.462
canny,kmeans,100,k=2,0.06099563395199429,0.06043929974325202,0.4468215994531784,0.462
canny,kmeans,1,k=2,0.06152517583085099,0.06100695434500882,0.44750512645249485,0.462
canny,kmeans,50,k=2,0.06100566482411911,0.06047098437535666,0.4468215994531784,0.462
sobel,gmm,1,"k=4, cov=full",0.06596867018625631,0.07841761576485211,0.4738209159261791,0.462
sobel,gmm,1,"k=4, cov=diag",0.06596867018625631,0.07841761576485211,0.4738209159261791,0.462
canny,agglomerative,20,"k=2, linkage=complete",0.044938757367397546,0.05640572280633449,0.43116883116883115,0.462
canny,agglomerative,1,"k=4, linkage=complete",0.05919572898213109,0.059086880822387715,0.4561175666438824,0.462
canny,agglomerative,75,"k=2, linkage=ward",0.05338215697328755,0.06221164903593659,0.43793574846206423,0.4613333333333333
canny,kmeans,10,k=2,0.061134484999058346,0.06062685440880884,0.4469583048530417,0.46066666666666667
canny,kmeans,20,k=2,0.0611931463133797,0.060606194120133565,0.4470266575529733,0.46066666666666667
sobel,gmm,50,"k=5, cov=diag",0.035177328254265325,0.0405628495907943,0.4667805878332194,0.46066666666666667
canny,kmeans,75,k=2,0.06131593689222921,0.06071012705646843,0.44716336295283665,0.46066666666666667
canny,agglomerative,1,"k=5, linkage=complete",0.05403952939686405,0.05648267288051284,0.4561175666438824,0.46066666666666667
canny,agglomerative,1,"k=3, linkage=complete",0.032664362710133656,0.050585920691560454,0.4208475734791524,0.46
rgb,gmm,10,"k=4, cov=diag",0.07747172251918895,0.07247115127260684,0.4730006835269993,0.46
canny,kmeans,1,k=5,0.043053702455102,0.05365743772155562,0.45550239234449763,0.4593333333333333
sobel,agglomerative,20,"k=2, linkage=complete",0.03835702463453294,0.06552827942919541,0.4267942583732057,0.4593333333333333
canny,agglomerative,20,"k=3, linkage=complete",0.04257925869425393,0.05575699133092378,0.43116883116883115,0.4593333333333333
canny,gmm,1,"k=5, cov=full",0.0433786040228814,0.05363793385325614,0.45557074504442924,0.45866666666666667
sobel,gmm,10,"k=4, cov=diag",0.052568934874307936,0.05100409811884812,0.4701982228298018,0.45866666666666667
canny,gmm,1,"k=5, cov=diag",0.0433786040228814,0.05363793385325614,0.45557074504442924,0.45866666666666667
sobel,agglomerative,100,"k=3, linkage=ward",0.0776834006309982,0.08344726206803905,0.4764183185235817,0.458
sobel,agglomerative,1,"k=4, linkage=ward",0.05014664814282305,0.07867671414508243,0.4632946001367054,0.458
canny,gmm,1,"k=2, cov=diag",0.06577422435181324,0.06252890819811445,0.4514695830485304,0.458
canny,agglomerative,50,"k=2, linkage=ward",0.06230627452595463,0.054678354088529925,0.44224196855775805,0.458
canny,agglomerative,1,"k=3, linkage=ward",0.05987530317281848,0.060163892439264656,0.45543403964456597,0.458
canny,agglomerative,1,"k=2, linkage=ward",0.07099458828518673,0.06296207118105238,0.45543403964456597,0.458
canny,gmm,1,"k=2, cov=full",0.06577422435181324,0.06252890819811445,0.4514695830485304,0.458
sobel,kmeans,50,k=4,0.06892117156392093,0.0831523105025548,0.46226930963773066,0.4573333333333333
canny,agglomerative,10,"k=3, linkage=ward",0.0514455459060083,0.051885767049242054,0.44326725905673275,0.45666666666666667
canny,gmm,10,"k=4, cov=diag",0.050352727813354425,0.04883121250087384,0.4671907040328093,0.456
canny,agglomerative,10,"k=2, linkage=ward",0.062243018779254936,0.05469173571869187,0.44326725905673275,0.4553333333333333
canny,agglomerative,20,"k=5, linkage=complete",0.03380920880465308,0.050970911895958274,0.43116883116883115,0.4553333333333333
canny,agglomerative,100,"k=2, linkage=ward",0.061347620234902374,0.05655685269794663,0.44483937115516065,0.4553333333333333
sobel,agglomerative,1,"k=4, linkage=average",0.07332579154157558,0.0799277870369525,0.4650034176349966,0.454
sobel,agglomerative,1,"k=5, linkage=average",0.07332309429744654,0.07988672999387197,0.4650034176349966,0.454
canny,agglomerative,100,"k=3, linkage=ward",0.05082503191442436,0.05530188548719014,0.44483937115516065,0.454
sobel,gmm,100,"k=5, cov=diag",0.03181312527324719,0.041137213198742244,0.44066985645933016,0.454
canny,agglomerative,1,"k=5, linkage=ward",0.04163070482500112,0.05398021816016197,0.45543403964456597,0.454
canny,agglomerative,1,"k=4, linkage=average",0.05550217514433439,0.05847123546272576,0.4504442925495557,0.454
canny,gmm,20,"k=3, cov=full",0.047566702063528345,0.04961813775458202,0.45680109364319893,0.4533333333333333
canny,gmm,1,"k=4, cov=diag",0.050675638957813754,0.056973474581682,0.4543403964456596,0.4533333333333333
canny,gmm,1,"k=4, cov=full",0.050675638957813754,0.056973474581682,0.4543403964456596,0.4533333333333333
canny,agglomerative,10,"k=5, linkage=ward",0.03585122439142588,0.046253893238419254,0.4518796992481203,0.4533333333333333
canny,agglomerative,1,"k=4, linkage=ward",0.05620072446413677,0.057637576525900854,0.45543403964456597,0.45266666666666666
rgb,gmm,10,"k=3, cov=diag",0.08645605047284492,0.0776502630503018,0.4678058783321941,0.45266666666666666
canny,agglomerative,20,"k=4, linkage=complete",0.04202018259192167,0.05474301495246344,0.43116883116883115,0.45266666666666666
canny,kmeans,1,k=4,0.05030180806802675,0.056752462264912346,0.4546138072453862,0.45266666666666666
sobel,gmm,10,"k=2, cov=diag",0.056254388175275886,0.04951905804131205,0.43861927546138074,0.45266666666666666
canny,agglomerative,1,"k=2, linkage=complete",0.03476912661525288,0.05174323070953649,0.4203691045796309,0.452
canny,gmm,10,"k=3, cov=full",0.04139586401305618,0.04543353995501979,0.4548188653451811,0.452
sobel,gmm,20,"k=2, cov=full",0.05781428645318192,0.05051798321260118,0.4372522214627478,0.4513333333333333
canny,kmeans,1,k=3,0.05630138829046416,0.060047315657915545,0.45153793574846207,0.4513333333333333
canny,gmm,1,"k=3, cov=full",0.055436540526606466,0.05984016505153287,0.4508544087491456,0.45066666666666666
laplacian,kmeans,10,k=5,0.02961360250139444,0.03756355268428082,0.45372522214627475,0.45066666666666666
sobel,agglomerative,1,"k=3, linkage=ward",0.06394688050767289,0.08310355802314992,0.4632946001367054,0.45066666666666666
laplacian,gmm,20,"k=5, cov=full",0.0267093726336993,0.03439892743250082,0.43267259056732743,0.45066666666666666
canny,gmm,1,"k=3, cov=diag",0.055436540526606466,0.05984016505153287,0.4508544087491456,0.45066666666666666
canny,agglomerative,10,"k=4, linkage=ward",0.04794775736190384,0.04952081701857589,0.4518796992481203,0.4493333333333333
laplacian,kmeans,20,k=5,0.026705742028556124,0.03019098015537652,0.4375256322624744,0.4493333333333333
laplacian,agglomerative,20,"k=5, linkage=ward",0.032004310040672765,0.03566435850128728,0.4447026657552973,0.44866666666666666
canny,agglomerative,1,"k=5, linkage=average",0.05069502282622988,0.05707509673970163,0.4504442925495557,0.44733333333333336
canny,agglomerative,20,"k=3, linkage=ward",0.0639847021692705,0.06346339835613507,0.45598086124401915,0.44666666666666666
canny,gmm,10,"k=2, cov=full",0.05612045946176993,0.05253665633755799,0.4420369104579631,0.44666666666666666
canny,gmm,10,"k=3, cov=diag",0.04475034769199408,0.04629616818918588,0.4354066985645933,0.446
canny,agglomerative,50,"k=3, linkage=complete",0.024415491236206247,0.05104293906462722,0.40936431989063565,0.44533333333333336
canny,kmeans,10,k=3,0.05709815180590953,0.05981294726530917,0.45502392344497605,0.44533333333333336
canny,kmeans,20,k=3,0.057365361934697136,0.059994603179998746,0.4546138072453862,0.44466666666666665
canny,agglomerative,20,"k=4, linkage=ward",0.04935530136332302,0.05850894416724185,0.45598086124401915,0.44466666666666665
canny,agglomerative,20,"k=5, linkage=ward",0.05062366952056445,0.057979831408777924,0.4623376623376623,0.44466666666666665
canny,gmm,100,"k=3, cov=full",0.03862228961664591,0.04004470518191015,0.45468215994531785,0.444
rgb,gmm,10,"k=2, cov=diag",0.09800384499345548,0.09021861852547391,0.4671907040328093,0.444
rgb,gmm,100,"k=3, cov=diag",0.04610274907904802,0.06498595347437355,0.43807245386192756,0.444
canny,kmeans,100,k=3,0.057255375350872745,0.05994958723788035,0.454066985645933,0.444
canny,kmeans,75,k=3,0.05713775861431411,0.059849164434901916,0.45372522214627475,0.444
canny,kmeans,50,k=3,0.05721410485159537,0.059958345513242174,0.45413533834586467,0.44333333333333336
sobel,agglomerative,75,"k=4, linkage=complete",0.01141164211942382,0.04310988680390341,0.38824333561175667,0.44266666666666665
sobel,gmm,20,"k=4, cov=diag",0.03767676451566011,0.037671235306570926,0.44360902255639095,0.44266666666666665
canny,agglomerative,75,"k=4, linkage=ward",0.055775875389551366,0.056952027232794765,0.44155844155844154,0.442
canny,agglomerative,50,"k=5, linkage=complete",0.021606744920900905,0.048832848544126894,0.40936431989063565,0.442
canny,kmeans,100,k=5,0.04635852267627298,0.05654673655594552,0.451742993848257,0.442
canny,agglomerative,75,"k=3, linkage=ward",0.0642205542134509,0.05978365491617175,0.44155844155844154,0.442
canny,agglomerative,100,"k=4, linkage=complete",0.024409700805369836,0.04422235518141554,0.41353383458646614,0.442
canny,agglomerative,100,"k=3, linkage=complete",0.024367876079924484,0.04557163791687984,0.41353383458646614,0.44133333333333336
canny,gmm,20,"k=3, cov=diag",0.04510245800470394,0.045621069472938536,0.4361585782638414,0.44066666666666665
sobel,agglomerative,75,"k=3, linkage=complete",0.013789472664933914,0.04419089787870459,0.38824333561175667,0.44066666666666665
sobel,agglomerative,75,"k=2, linkage=complete",0.013805987888495524,0.04417192212844256,0.388174982911825,0.43933333333333335
sobel,agglomerative,75,"k=5, linkage=complete",0.01098180385676198,0.04288229468553936,0.38824333561175667,0.43933333333333335
canny,agglomerative,50,"k=2, linkage=complete",0.02653534336199114,0.05228635845875653,0.40936431989063565,0.43933333333333335
canny,gmm,50,"k=3, cov=full",0.04290380329331402,0.04530295649657798,0.4559125085440875,0.43866666666666665
canny,gmm,75,"k=5, cov=diag",0.023398024409015464,0.029714246673188168,0.4299384825700615,0.438
sobel,gmm,50,"k=4, cov=diag",0.022718060021370397,0.024914784455966683,0.42105263157894735,0.438
canny,agglomerative,50,"k=3, linkage=ward",0.050954320799346565,0.05073614475690644,0.4460013670539986,0.43733333333333335
canny,agglomerative,50,"k=4, linkage=complete",0.024774938397776988,0.049777689267186204,0.40936431989063565,0.43666666666666665
laplacian,agglomerative,100,"k=5, linkage=ward",0.019226608045509228,0.0316982113930428,0.4247436773752563,0.436
sobel,gmm,10,"k=3, cov=full",0.05179635141963776,0.05244660135486784,0.44647983595352014,0.436
canny,kmeans,100,k=4,0.05034415631876887,0.05590312651724435,0.4512645249487355,0.436
canny,agglomerative,100,"k=5, linkage=complete",0.02411181275280779,0.04472031625111849,0.41353383458646614,0.436
laplacian,gmm,50,"k=5, cov=full",0.027356701174842044,0.03310104683096393,0.44559125085440876,0.43533333333333335
canny,agglomerative,10,"k=3, linkage=complete",0.0171104119736704,0.040270906162650597,0.3956937799043062,0.43466666666666665
sobel,gmm,20,"k=2, cov=diag",0.04949608309229807,0.04292585721435464,0.42747778537252223,0.43466666666666665
canny,agglomerative,10,"k=2, linkage=complete",0.01857129276804323,0.040685817845576906,0.3956937799043062,0.434
laplacian,kmeans,100,k=5,0.023805933943358202,0.03215284886547723,0.43663704716336293,0.43333333333333335
canny,agglomerative,75,"k=4, linkage=complete",0.009430010521309444,0.032197962003684806,0.3803827751196172,0.43266666666666664
laplacian,gmm,10,"k=5, cov=diag",0.0170815434831488,0.02420547531691525,0.4172248803827751,0.432
canny,gmm,75,"k=3, cov=full",0.03826533721933711,0.040237255359285955,0.45003417634996584,0.43133333333333335
canny,gmm,20,"k=5, cov=diag",0.036975731046386184,0.042979719661967286,0.44094326725905675,0.43066666666666664
canny,agglomerative,10,"k=5, linkage=complete",0.01650677855677758,0.039111286474567575,0.3956937799043062,0.43066666666666664
sobel,gmm,50,"k=2, cov=full",0.04137390132580649,0.035262100945036796,0.43089542036910455,0.43066666666666664
canny,agglomerative,100,"k=4, linkage=ward",0.0543957469710378,0.05628138820698706,0.4486671223513329,0.43066666666666664
